file_name,label
car_AQUA5_9566_checkin_2020-10-23-9-44jXLRScmjjt.jpg,29D095.66
car_AQUA7_29A37229_checkin_2020-10-26-12-36suW8TinUZF.jpg,
car_AQUA7_30A60434_checkin_2020-10-25-19-512gQoUFJeAl.jpg,34A-604.34
car_AQUA7_30A79209_checkin_2020-10-26-13-18eCBFj3goyM.jpg,30A-792.09
car_AQUA7_34A31506_checkin_2020-10-28-17-6oBDBdgP8s3.jpg,
car_AQUA5_08060_checkin_2020-10-26-20-50RnyPGaFTrj.jpg,12A080.60
car_AQUA7_09290_checkin_2020-10-26-22-32auNPMYzMxP.jpg,14A-092.90
car_AQUA7_43441_checkin_2020-10-26-22-41dHr6pPRo56.jpg,14A-434.41
car_AQUA5_09290_checkin_2020-10-22-9-1fILrukU6Cv.jpg,14A092.90
car_AQUA5_09290_checkout_2020-10-22-9-2lUgw_0pUGu.jpg,14A092.90
car_AQUA7_09290_checkin_2020-10-27-13-5770_MSYd7ls.jpg,14A092.90
car_AQUA7_16938_checkin_2020-11-1-13-18OXF3kZdOdN.jpg,15A-169.38
moto_0313_05990_b.jpg,16-F26303
moto_0502_05391_b.jpg,16-P96204
car_AQUA2_32726_checkin_2020-10-25-8-47kkdn1a6eHe.jpg,19A327.26
moto_0316_04080_b.jpg,22-H51198
car_AQUA5_0064_checkin_2020-10-23-15-1578RGxXSSoA.jpg,26A-00164
car_AQUA7__checkout_2020-11-2-16-59d11weiJHVB.jpg,26A-082.11
moto_0458_04136_b.jpg,29-D1635.16
car_AQUA4_01771_checkin_2020-10-26-18-31xoumolnhXC.jpg,29A-017.71
car_AQUA4__checkout_2020-10-27-10-41QjUEmHhXqf.jpg,29A-050.80
car_AQUA5_25885_checkin_2020-10-28-18-272t2dyIxEwp.jpg,29A-258.85
car_AQUA1_33928_checkin_2020-10-23-8-51ICUxEIQDLw.jpg,29A-339.28
car_AQUA5_37277_checkin_2020-10-30-21-22GB1jiz5Bx0.jpg,29A-372.77
car_AQUA4_42050_checkin_2020-10-28-9-37tL6xHo5DZu.jpg,29A-420.50
car_AQUA4_42050_checkin_2020-10-29-7-51896EW1GGEv.jpg,29A-420.50
car_AQUA4_42050_checkin_2020-10-31-14-19TW8Z0JBQ2h.jpg,29A-420.50
car_AQUA7_44039_checkin_2020-10-24-9-54Pd8mmXwMaw.jpg,29A-440.39
car_AQUA5_46319_checkin_2020-11-2-12-3YELGFX0L9e.jpg,29A-463.19
car_AQUA2_46511_checkin_2020-10-19-9-47w2n9j4MXCu.jpg,29A-465.11
car_AQUA2_46511_checkin_2020-10-19-9-5316TJMlxS_w.jpg,29A-465.11
car_AQUA2_6511_checkin_2020-10-19-9-45dcrsKsOHZ7.jpg,29A-465.11
